KODE_SIMPUL;NAMA_SIMPUL;KATEGORI_SIMPUL;SUB_KATEGORI_SIMPUL;LATITUDE;LONGITUDE
SEA-OBJECTOBJECT-36;Taam;Pelabuhan;Pelabuhan Penyeberangan;-5.73150997940246;132.171347791794
SEA-OBJECTOBJECT-37;Tagulandang;Pelabuhan;Pelabuhan Penyeberangan;2.34030436869968;125.38126935375
SEA-THA;Tahuna;Pelabuhan;Pelabuhan Laut;3.602255555555556;125.5011027777778
SEA-TIP;Taipa;Pelabuhan;Pelabuhan Penyeberangan;-0.7795083333333334;119.8580305555555
SEA-TNU;Talang Duku;Pelabuhan;Pelabuhan Laut;-1.533733333333333;103.6601027777778
SEA-PPTMB;Tambelan;Pelabuhan;Pelabuhan Penyeberangan;0.9752833333333334;107.5481944444444
SEA-PPTMP;Tampo;Pelabuhan;Pelabuhan Penyeberangan;-4.623972222222223;122.7095555555556
SEA-THR;Tana Paser;Pelabuhan;Pelabuhan Laut;-1.803444444444444;116.2510444444444
SEA-PPTGP;Tanjung Api-Api;Pelabuhan;Pelabuhan Penyeberangan;-2.372741666666667;104.8070916666667
SEA-BSH;Tanjung Balai Asahan;Pelabuhan;Pelabuhan Laut;2.998733333333333;99.81690833333333
SEA-TJB;Tanjung Balai Karimun;Pelabuhan;Pelabuhan Laut;0.988;103.4363583333333
SEA-OBJECTOBJECT-38;Tanjung Balai Karimun;Pelabuhan;Pelabuhan Penyeberangan;0.988582699629965;103.436392244177
SEA-TBE;Tanjung Beringin;Pelabuhan;Pelabuhan Laut;3.497069444444445;99.19857222222223
SEA-SEQ;Tanjung Buton;Pelabuhan;Pelabuhan Laut;0.9686444444444444;102.2518944444444
SEA-SRG;Tanjung Emas;Pelabuhan;Pelabuhan Laut;-6.9403076;110.4240112
SEA-CXP;Tanjung Intan Cilacap;Pelabuhan;Pelabuhan Laut;-7.731466666666667;108.9933111111111
SEA-TMD;Tanjung Medang;Pelabuhan;Pelabuhan Laut;2.113391666666667;101.6375166666667
SEA-PPMNM;Tanjung Nyato;Pelabuhan;Pelabuhan Penyeberangan;-2.888388888888889;107.4768333333333
SEA-TPS;Tanjung Pakis;Pelabuhan;Pelabuhan Laut;-6.862958333333333;112.4180305555556
SEA-TJQ;Tanjung Pandan;Pelabuhan;Pelabuhan Laut;-2.746705555555556;107.6285333333333
SEA-SUB;Tanjung Perak;Pelabuhan;Pelabuhan Laut;-7.1976929;112.7260132
SEA-OBJECTOBJECT-39;Tanjung Phising;Pelabuhan;Pelabuhan Penyeberangan;-5.071222222222222;121.8965277777778
SEA-TNJ;Tanjung Pinang;Pelabuhan;Pelabuhan Laut;0.9321138888888888;104.4381888888889
SEA-JKT;Tanjung Priok;Pelabuhan;Pelabuhan Laut;-6.1016846;106.8881836
SEA-TRE;Tanjung Redep;Pelabuhan;Pelabuhan Laut;2.157022222222222;117.494275
SEA-PPTJR;Tanjung RU;Pelabuhan;Pelabuhan Penyeberangan;-2.935611111111111;107.5306111111111
SEA-TSX;Tanjung Santan;Pelabuhan;Pelabuhan Laut;-0.03;117.5161111111111
SEA-TSL;Tanjung Sarang Elang;Pelabuhan;Pelabuhan Laut;2.496447222222222;100.1601194444444
SEA-SQQ;Tanjung Selor;Pelabuhan;Pelabuhan Laut;2.836338888888889;117.36165
SEA-OBJECTOBJECT-40;Tanjung Selor;Pelabuhan;Pelabuhan Penyeberangan;2.87227785068365;117.376453154557
SEA-PPTSG;Tanjung Serdang;Pelabuhan;Pelabuhan Penyeberangan;-3.473969444444445;116.0429975
SEA-PEI;Tanjung Silopo;Pelabuhan;Pelabuhan Laut;-3.477491666666667;119.446825
SEA-ITN;Tanjung Uban;Pelabuhan;Pelabuhan Laut;1.014780555555556;104.2321777777778
SEA-PPTUB;Tanjung Uban;Pelabuhan;Pelabuhan Penyeberangan;1.061611111111111;104.2196944444444
SEA-BJU;Tanjung Wangi;Pelabuhan;Pelabuhan Laut;-8.128127777777777;114.3997472222222
SEA-TPK;Tapaktuan;Pelabuhan;Pelabuhan Laut;3.252322222222222;97.18060555555556
SEA-MLD;Tarakan;Pelabuhan;Pelabuhan Laut;3.2833862;117.5960083
SEA-TMP;Tarempa;Pelabuhan;Pelabuhan Laut;3.217561111111111;106.2172777777778
